dEQP-GLES31.functional.ssbo.layout.random.all_shared_buffer.12,Crash
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.3d.linear.single_layer.r16g16b16a16_sscaled_55x21x11,Fail
dEQP-VK.api.image_clearing.dedicated_allocation.clear_color_image.3d.optimal.single_layer.r32g32b32_sint_200x180x16_multiple_subresourcerange,Fail
dEQP-VK.api.info.image_format_properties.2d.linear.astc_10x5_unorm_block,Fail
dEQP-VK.api.info.image_format_properties2.2d.optimal.astc_10x10_unorm_block,Fail
dEQP-VK.api.info.sparse_image_format_properties2.1d.linear.astc_12x12_unorm_block,Fail
dEQP-VK.api.object_management.multithreaded_per_thread_resources.pipeline_layout_single,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.alias.u16_to_u8_array_scalar_func_read_write_barrier,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.zero.uint16_t_array_to_float16_t_uvec3_array_4,Fail
dEQP-VK.compute.workgroup_memory_explicit_layout.zero.uint8_t_array_to_float16_t_double_array_4,Fail
dEQP-VK.draw.dynamic_rendering.instanced.draw_vk_primitive_topology_triangle_list_attrib_divisor_2_multiview,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_mixed.16_draws.stride_extra_4.no_instances.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_packed.16_draws.standard_stride.1_instance.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.indexed_random.16_draws.standard_stride.10_instances.with_tess.single_view.offset_6,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.mosaic.normal.one_draw.stride_zero.2_instances_base_3.vert_only.multiview.no_offset,Fail
dEQP-VK.draw.dynamic_rendering.multi_draw.overlapping.indexed_packed.16_draws.standard_stride.no_instances.vert_only.single_view.offset_6,Fail
dEQP-VK.draw.renderpass.multi_draw.mosaic.indexed_packed.no_draws.stride_extra_12.1_instance.with_tess.multiview.offset_6,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.fast_linked_library.conservativeunder.dynamic.attachment.shaderrate.keep.replace.1x1.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.fast_linked_library.interlock.dynamic.noattachment.shaderrate.replace.replace.256x256.samples8.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.apisamplemask.dynamic.attachment.shaderrate.keep.replace.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.attachment.shaderrate.keep.replace.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.attachment.shaderrate.mul.replace.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.noattachment.noshaderrate.mul.max.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.dynamic.noattachment.shaderrate.max.mul.4x4.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.basic.static.attachment.noshaderrate.mul.max.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.conservativeover.dynamic.noattachment.shaderrate.keep.replace.151x431.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.samplelocations.dynamic.attachment.shaderrate.keep.keep.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.monolithic.srlayered.dynamic.attachment.shaderrate.replace.keep.256x256.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.dynamic_rendering.pipeline_library.multiview.dynamic.noattachment.noshaderrate.replace.replace.256x256.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.fast_linked_library.interlock.dynamic.attachment.noshaderrate.replace.keep.1x1.samples8.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.fast_linked_library.sampleshadingenable.dynamic.noattachment.shaderrate.replace.keep.33x35.samples2.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.attachment_rate.setup_with_fragment.r64_uint.rate_1x2,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.attachment.shaderrate.keep.replace.151x431.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.attachment.shaderrate.mul.replace.151x431.samples2.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachment.noshaderrate.mul.max.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachment.shaderrate.max.mul.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.dynamic.noattachmentptr.shaderrate.mul.mul.1x1.samples8.gs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.static.attachment.shaderrate.keep.max.4x4.samples4.vs,Fail
dEQP-VK.fragment_shading_rate.renderpass2.monolithic.basic.static.noattachmentptr.noshaderrate.max.max.4x4.samples4.vs,Fail
